pair,pc_a,pc_b,tau_start_ns,tau_stop_ns,original_pc_a_to_pc_b_cutoff_found,original_pc_b_to_pc_a_cutoff_found,original_pc_a_to_pc_b_cutoff_ns,original_pc_b_to_pc_a_cutoff_ns,original_pc_a_to_pc_b_area_to_cutoff,original_pc_b_to_pc_a_area_to_cutoff,smoothed_pc_a_to_pc_b_cutoff_found,smoothed_pc_b_to_pc_a_cutoff_found,smoothed_pc_a_to_pc_b_cutoff_ns,smoothed_pc_b_to_pc_a_cutoff_ns,smoothed_pc_a_to_pc_b_area_to_cutoff,smoothed_pc_b_to_pc_a_area_to_cutoff
pc1-pc2,pc1,pc2,0.0,995.0,True,True,634.1496123821356,34.824804621170614,370.87332054002445,8.755890526620833,False,True,995.0,675.5326033387663,443.5246254038304,170.22344732871548
pc1-pc3,pc1,pc3,0.0,995.0,True,True,601.8708413999901,181.74627150496264,275.53302669889166,67.97450121222569,False,True,995.0,276.8253515096934,366.07638846093107,87.62378860164736
pc1-pc4,pc1,pc4,0.0,995.0,True,True,654.3016613558588,124.31879355817375,383.96446819069496,43.97543045676637,True,True,794.080496871512,680.8300099166266,413.47507125475624,169.73622507681173
pc1-pc5,pc1,pc5,0.0,995.0,True,True,512.8692130208339,44.96208222120725,298.86412580995164,15.275368349060091,True,True,952.5401518520083,712.3820704115656,377.4560204197516,136.78604849960826
pc2-pc3,pc2,pc3,0.0,995.0,True,True,495.3254363399065,589.3515501438511,274.17193744764324,307.5651607467423,False,True,995.0,917.6424043003418,391.6525600268223,381.3760673379278
pc2-pc4,pc2,pc4,0.0,995.0,True,True,577.8605042667473,333.94846296799955,236.18427617605164,179.8320398832533,False,True,995.0,699.6189453230793,314.0877055217846,277.1962782694583
pc2-pc5,pc2,pc5,0.0,995.0,True,True,354.866944397545,174.10522493780192,163.65514226404545,84.92131127210023,True,True,849.2529596362922,694.4218735223224,280.9172579474159,224.59833790777736
pc3-pc4,pc3,pc4,0.0,995.0,True,True,519.8471276592538,495.1685011395227,306.08500687183187,271.59097673182305,False,False,995.0,995.0,428.8855443453929,391.5498523304989
pc3-pc5,pc3,pc5,0.0,995.0,True,True,541.4962803428086,498.1647036862595,277.0289918804665,234.16875102637005,True,False,832.8473749190285,995.0,340.5553145505704,350.5528904081126
pc4-pc5,pc4,pc5,0.0,995.0,True,True,418.0997943216048,343.8284602167992,204.35110004796323,151.52000862137623,True,True,725.8652644335756,660.2330676228624,268.6922649260914,226.17246260786592
