pair,pc_a,pc_b,tau_start_ns,tau_stop_ns,original_pc_a_to_pc_b_area,original_pc_b_to_pc_a_area,smoothed_pc_a_to_pc_b_area,smoothed_pc_b_to_pc_a_area,original_pc_a_to_pc_b_positive_points,original_pc_b_to_pc_a_positive_points,smoothed_pc_a_to_pc_b_positive_points,smoothed_pc_b_to_pc_a_positive_points,original_n_points,smoothed_n_points
pc1-pc2,pc1,pc2,0.0,495.0,176.86812941056672,93.77200195246115,179.47727428925296,95.04381560599789,99,99,1001,1001,100,1001
pc1-pc3,pc1,pc3,0.0,495.0,207.41205273584103,137.30701224549628,209.48884987692753,139.88276783086286,99,99,1001,1001,100,1001
pc1-pc4,pc1,pc4,0.0,495.0,128.19814063061057,99.03966018783937,128.7671401297043,100.14428981231983,99,99,1001,1001,100,1001
pc1-pc5,pc1,pc5,0.0,495.0,126.01884502158492,124.53641743311,127.22976079840667,125.83422072767172,99,99,1001,1001,100,1001
pc2-pc3,pc2,pc3,0.0,495.0,164.99598117782247,150.28636061656772,166.81312314476486,151.59262188452516,99,99,1001,1001,100,1001
pc2-pc4,pc2,pc4,0.0,495.0,119.87219669098259,125.36993041906194,120.40309785221714,126.68250870893705,99,99,1001,1001,100,1001
pc2-pc5,pc2,pc5,0.0,495.0,62.41176736139049,97.39970175877913,63.162200568883364,97.41444427287445,98,99,1001,1001,100,1001
pc3-pc4,pc3,pc4,0.0,495.0,162.57177438198224,170.05302792412866,163.3510550640763,170.51173390988538,99,99,1001,1001,100,1001
pc3-pc5,pc3,pc5,0.0,495.0,109.97962890034697,164.2105248860213,111.16621242206875,164.95837157393674,99,99,1001,1001,100,1001
pc4-pc5,pc4,pc5,0.0,495.0,113.94947804117248,136.92591046874975,114.59047320435634,137.26625054972607,99,99,1001,1001,100,1001
